停用词,来源,总词频,文档频率,文档占比,去除原因
减少,泛动作词,1043,889,0.089971,泛动作词
及其,专利模板停用词,3120,857,0.086732,专利模板词
便于,泛动作词,1454,851,0.086125,泛动作词
不同,外部中文停用词表,1158,789,0.07985,通用停用词
制备,泛动作词,3324,725,0.073373,泛动作词
形成,泛动作词,891,683,0.069123,泛动作词
需要,外部中文停用词表,805,682,0.069021,通用停用词
步骤,专利模板停用词,1227,661,0.066896,专利模板词
定位,泛动作词,2210,655,0.066289,泛动作词
一个,外部中文停用词表,1031,652,0.065985,通用停用词
并且,外部中文停用词表,763,645,0.065277,通用停用词
完成,泛动作词,777,636,0.064366,泛动作词
产生,外部中文停用词表,754,595,0.060217,通用停用词
安全,外部中文停用词表,1426,594,0.060115,通用停用词
确定,外部中文停用词表,1002,561,0.056776,通用停用词
达到,泛动作词,639,561,0.056776,泛动作词
进而,外部中文停用词表,653,546,0.055258,通用停用词
尤其,外部中文停用词表,530,528,0.053436,通用停用词
制备方法,泛动作词,2172,525,0.053132,泛动作词
防止,外部中文停用词表,658,517,0.052323,通用停用词
结果,外部中文停用词表,895,507,0.051311,通用停用词
相对,外部中文停用词表,617,489,0.049489,通用停用词
单元,结构词,2034,483,0.048882,结构词
发生,外部中文停用词表,618,483,0.048882,通用停用词
增加,泛动作词,547,473,0.04787,泛动作词
更加,外部中文停用词表,540,472,0.047768,通用停用词
升降,泛动作词,1589,469,0.047465,泛动作词
造成,外部中文停用词表,501,449,0.045441,通用停用词
以下,外部中文停用词表,460,446,0.045137,通用停用词
满足,外部中文停用词表,511,444,0.044935,通用停用词
然后,外部中文停用词表,504,414,0.041899,通用停用词
作为,外部中文停用词表,540,400,0.040482,通用停用词
进入,外部中文停用词表,531,397,0.040178,通用停用词
每个,外部中文停用词表,608,368,0.037243,通用停用词
上下,外部中文停用词表,531,366,0.037041,通用停用词
适用,外部中文停用词表,612,359,0.036332,通用停用词
提出,外部中文停用词表,379,346,0.035017,通用停用词
由于,外部中文停用词表,362,334,0.033802,通用停用词
结合,外部中文停用词表,431,333,0.033701,通用停用词
出现,外部中文停用词表,375,332,0.0336,通用停用词
而且,外部中文停用词表,332,313,0.031677,通用停用词
针对,外部中文停用词表,374,312,0.031576,通用停用词
不仅,外部中文停用词表,325,312,0.031576,通用停用词
是否,外部中文停用词表,402,308,0.031171,通用停用词
获得,外部中文停用词表,450,307,0.03107,通用停用词
组成,外部中文停用词表,395,305,0.030867,通用停用词
直接,外部中文停用词表,345,305,0.030867,通用停用词
中间,外部中文停用词表,448,297,0.030058,通用停用词
存在,外部中文停用词表,348,296,0.029956,通用停用词
在于,外部中文停用词表,293,291,0.02945,通用停用词
左右,外部中文停用词表,376,284,0.028742,通用停用词
上述,专利模板停用词,296,274,0.02773,专利模板词
第三,外部中文停用词表,496,264,0.026718,通用停用词
范围,外部中文停用词表,327,262,0.026516,通用停用词
无法,外部中文停用词表,286,259,0.026212,通用停用词
不会,外部中文停用词表,279,259,0.026212,通用停用词
如下,外部中文停用词表,264,259,0.026212,通用停用词
更好,外部中文停用词表,276,252,0.025503,通用停用词
部分,外部中文停用词表,395,249,0.0252,通用停用词
要求,外部中文停用词表,288,247,0.024997,通用停用词
反应,外部中文停用词表,523,241,0.02439,通用停用词
及时,外部中文停用词表,266,237,0.023985,通用停用词
良好,外部中文停用词表,268,236,0.023884,通用停用词
或者,外部中文停用词表,275,230,0.023277,通用停用词
实际,外部中文停用词表,298,228,0.023075,通用停用词
相应,外部中文停用词表,280,226,0.022872,通用停用词
合理,外部中文停用词表,243,226,0.022872,通用停用词
一定,外部中文停用词表,254,225,0.022771,通用停用词
各个,外部中文停用词表,329,223,0.022569,通用停用词
经过,外部中文停用词表,266,223,0.022569,通用停用词
整个,外部中文停用词表,242,218,0.022063,通用停用词
容易,外部中文停用词表,227,207,0.020949,通用停用词
加入,外部中文停用词表,344,204,0.020646,通用停用词
保持,外部中文停用词表,234,190,0.019229,通用停用词
当前,外部中文停用词表,355,186,0.018824,通用停用词
主要,外部中文停用词表,219,186,0.018824,通用停用词
正常,外部中文停用词表,209,186,0.018824,通用停用词
特点,外部中文停用词表,186,182,0.018419,通用停用词
所有,外部中文停用词表,224,179,0.018116,通用停用词
前后,外部中文停用词表,228,178,0.018014,通用停用词
最后,外部中文停用词表,180,177,0.017913,通用停用词
充分,外部中文停用词表,193,172,0.017407,通用停用词
极大,外部中文停用词表,178,167,0.016901,通用停用词
特别,外部中文停用词表,164,164,0.016598,通用停用词
按照,外部中文停用词表,188,163,0.016496,通用停用词
之后,外部中文停用词表,185,162,0.016395,通用停用词
大量,外部中文停用词表,171,162,0.016395,通用停用词
对于,外部中文停用词表,187,158,0.01599,通用停用词
部件,结构词,376,153,0.015484,结构词
适应,外部中文停用词表,222,153,0.015484,通用停用词
其他,外部中文停用词表,173,153,0.015484,通用停用词
首先,外部中文停用词表,156,152,0.015383,通用停用词
这样,外部中文停用词表,161,140,0.014169,通用停用词
最大,外部中文停用词表,178,139,0.014067,通用停用词
构成,外部中文停用词表,174,138,0.013966,通用停用词
关系,外部中文停用词表,238,137,0.013865,通用停用词
受到,外部中文停用词表,155,136,0.013764,通用停用词
以上,外部中文停用词表,174,128,0.012954,通用停用词
相同,外部中文停用词表,155,128,0.012954,通用停用词
显著,外部中文停用词表,134,127,0.012853,通用停用词
较为,外部中文停用词表,126,117,0.011841,通用停用词
此外,外部中文停用词表,117,117,0.011841,通用停用词
各种,外部中文停用词表,129,115,0.011638,通用停用词
共同,外部中文停用词表,126,115,0.011638,通用停用词
因此,外部中文停用词表,125,114,0.011537,通用停用词
自身,外部中文停用词表,120,111,0.011234,通用停用词
任务,外部中文停用词表,382,109,0.011031,通用停用词
复杂,外部中文停用词表,125,107,0.010829,通用停用词
限制,外部中文停用词表,150,105,0.010626,通用停用词
促进,外部中文停用词表,142,104,0.010525,通用停用词
不能,外部中文停用词表,116,103,0.010424,通用停用词
沿着,外部中文停用词表,115,103,0.010424,通用停用词
一次,外部中文停用词表,152,101,0.010222,通用停用词
一起,外部中文停用词表,110,99,0.010019,通用停用词
大大,外部中文停用词表,100,99,0.010019,通用停用词
行为,外部中文停用词表,292,96,0.009716,通用停用词
另外,外部中文停用词表,99,93,0.009412,通用停用词
以便,外部中文停用词表,102,92,0.009311,通用停用词
时候,外部中文停用词表,118,91,0.00921,通用停用词
同一,外部中文停用词表,102,91,0.00921,通用停用词
集中,外部中文停用词表,124,90,0.009108,通用停用词
比较,外部中文停用词表,120,89,0.009007,通用停用词
此时,外部中文停用词表,115,89,0.009007,通用停用词
全面,外部中文停用词表,91,89,0.009007,通用停用词
完全,外部中文停用词表,114,88,0.008906,通用停用词
加强,外部中文停用词表,170,87,0.008805,通用停用词
没有,外部中文停用词表,91,85,0.008602,通用停用词
对比,外部中文停用词表,105,84,0.008501,通用停用词
不足,外部中文停用词表,87,83,0.0084,通用停用词
广泛,外部中文停用词表,87,83,0.0084,通用停用词
人们,外部中文停用词表,101,81,0.008198,通用停用词
考虑,外部中文停用词表,153,79,0.007995,通用停用词
方面,外部中文停用词表,93,79,0.007995,通用停用词
目前,外部中文停用词表,82,79,0.007995,通用停用词
对待,外部中文停用词表,96,78,0.007894,通用停用词
依据,外部中文停用词表,91,76,0.007692,通用停用词
一致,外部中文停用词表,87,76,0.007692,通用停用词
第四,外部中文停用词表,128,75,0.00759,通用停用词
重新,外部中文停用词表,88,74,0.007489,通用停用词
再次,外部中文停用词表,84,74,0.007489,通用停用词
重要,外部中文停用词表,89,70,0.007084,通用停用词
出来,外部中文停用词表,78,69,0.006983,通用停用词
更为,外部中文停用词表,73,68,0.006882,通用停用词
不断,外部中文停用词表,72,68,0.006882,通用停用词
代替,外部中文停用词表,79,67,0.006781,通用停用词
与其,外部中文停用词表,82,66,0.006679,通用停用词
继续,外部中文停用词表,71,64,0.006477,通用停用词
本地,外部中文停用词表,126,63,0.006376,通用停用词
为了,外部中文停用词表,61,61,0.006173,通用停用词
上升,外部中文停用词表,78,60,0.006072,通用停用词
这种,外部中文停用词表,64,60,0.006072,通用停用词
由此,外部中文停用词表,63,60,0.006072,通用停用词
随着,外部中文停用词表,62,57,0.005769,通用停用词
丰富,外部中文停用词表,64,56,0.005667,通用停用词
起来,外部中文停用词表,58,56,0.005667,通用停用词
周围,外部中文停用词表,63,55,0.005566,通用停用词
明显,外部中文停用词表,58,55,0.005566,通用停用词
扩大,外部中文停用词表,55,55,0.005566,通用停用词
得出,外部中文停用词表,65,52,0.005263,通用停用词
可能,外部中文停用词表,55,52,0.005263,通用停用词
另一方面,外部中文停用词表,52,52,0.005263,通用停用词
所在,外部中文停用词表,68,51,0.005161,通用停用词
相似,外部中文停用词表,107,50,0.00506,通用停用词
随后,外部中文停用词表,59,50,0.00506,通用停用词
如果,外部中文停用词表,63,49,0.004959,通用停用词
各自,外部中文停用词表,54,49,0.004959,通用停用词
因为,外部中文停用词表,53,49,0.004959,通用停用词
了解,外部中文停用词表,52,49,0.004959,通用停用词
维持,外部中文停用词表,59,48,0.004858,通用停用词
特殊,外部中文停用词表,64,47,0.004757,通用停用词
开始,外部中文停用词表,51,47,0.004757,通用停用词
一方面,外部中文停用词表,48,47,0.004757,通用停用词
有所,外部中文停用词表,80,46,0.004655,通用停用词
接着,外部中文停用词表,55,46,0.004655,通用停用词
基本,外部中文停用词表,78,45,0.004554,通用停用词
普通,外部中文停用词表,59,45,0.004554,通用停用词
替代,外部中文停用词表,61,44,0.004453,通用停用词
运用,外部中文停用词表,53,43,0.004352,通用停用词
任何,外部中文停用词表,49,43,0.004352,通用停用词
多次,外部中文停用词表,56,42,0.004251,通用停用词
全部,外部中文停用词表,46,42,0.004251,通用停用词
彻底,外部中文停用词表,46,42,0.004251,通用停用词
本身,外部中文停用词表,45,41,0.004149,通用停用词
关于,外部中文停用词表,49,40,0.004048,通用停用词
帮助,外部中文停用词表,45,40,0.004048,通用停用词
之前,外部中文停用词表,43,40,0.004048,通用停用词
引起,外部中文停用词表,42,40,0.004048,通用停用词
如此,外部中文停用词表,40,40,0.004048,通用停用词
两者,外部中文停用词表,49,39,0.003947,通用停用词
不再,外部中文停用词表,42,39,0.003947,通用停用词
不可,外部中文停用词表,44,38,0.003846,通用停用词
一些,外部中文停用词表,39,37,0.003745,通用停用词
始终,外部中文停用词表,39,37,0.003745,通用停用词
严重,外部中文停用词表,47,36,0.003643,通用停用词
逐渐,外部中文停用词表,43,36,0.003643,通用停用词
来自,外部中文停用词表,41,36,0.003643,通用停用词
非常,外部中文停用词表,38,36,0.003643,通用停用词
迅速,外部中文停用词表,37,36,0.003643,通用停用词
做到,外部中文停用词表,36,35,0.003542,通用停用词
其它,外部中文停用词表,44,34,0.003441,通用停用词
准备,外部中文停用词表,38,34,0.003441,通用停用词
这些,外部中文停用词表,38,34,0.003441,通用停用词
其次,外部中文停用词表,34,34,0.003441,通用停用词
一般,外部中文停用词表,37,33,0.00334,通用停用词
用来,外部中文停用词表,35,32,0.003239,通用停用词
不但,外部中文停用词表,34,32,0.003239,通用停用词
掌握,外部中文停用词表,34,32,0.003239,通用停用词
并排,外部中文停用词表,33,31,0.003137,通用停用词
不够,外部中文停用词表,32,31,0.003137,通用停用词
十分,外部中文停用词表,32,31,0.003137,通用停用词
表示,外部中文停用词表,57,30,0.003036,通用停用词
上面,外部中文停用词表,46,30,0.003036,通用停用词
附近,外部中文停用词表,31,30,0.003036,通用停用词
具体地说,外部中文停用词表,30,30,0.003036,通用停用词
所以,外部中文停用词表,30,30,0.003036,通用停用词
随时,外部中文停用词表,31,28,0.002834,通用停用词
做出,外部中文停用词表,29,28,0.002834,通用停用词
成为,外部中文停用词表,28,28,0.002834,通用停用词
允许,外部中文停用词表,37,27,0.002733,通用停用词
相反,外部中文停用词表,33,26,0.002631,通用停用词
最高,外部中文停用词表,30,26,0.002631,通用停用词
互相,外部中文停用词表,28,26,0.002631,通用停用词
各项,外部中文停用词表,28,26,0.002631,通用停用词
而言,外部中文停用词表,26,26,0.002631,通用停用词
继而,外部中文停用词表,29,25,0.00253,通用停用词
明确,外部中文停用词表,29,24,0.002429,通用停用词
个人,外部中文停用词表,47,23,0.002328,通用停用词
依靠,外部中文停用词表,33,23,0.002328,通用停用词
采取,外部中文停用词表,30,23,0.002328,通用停用词
一直,外部中文停用词表,29,23,0.002328,通用停用词
除去,外部中文停用词表,30,22,0.002226,通用停用词
开展,外部中文停用词表,27,22,0.002226,通用停用词
自己,外部中文停用词表,26,22,0.002226,通用停用词
第五,外部中文停用词表,38,21,0.002125,通用停用词
一面,外部中文停用词表,32,21,0.002125,通用停用词
已经,外部中文停用词表,25,21,0.002125,通用停用词
如何,外部中文停用词表,22,21,0.002125,通用停用词
反映,外部中文停用词表,23,20,0.002024,通用停用词
突出,外部中文停用词表,23,20,0.002024,通用停用词
甚至,外部中文停用词表,20,20,0.002024,通用停用词
转变,外部中文停用词表,23,19,0.001923,通用停用词
而后,外部中文停用词表,22,19,0.001923,通用停用词
决定,外部中文停用词表,21,19,0.001923,通用停用词
才能,外部中文停用词表,21,19,0.001923,通用停用词
不变,外部中文停用词表,20,19,0.001923,通用停用词
出去,外部中文停用词表,20,19,0.001923,通用停用词
直到,外部中文停用词表,20,19,0.001923,通用停用词
适当,外部中文停用词表,19,19,0.001923,通用停用词
真正,外部中文停用词表,20,18,0.001822,通用停用词
即使,外部中文停用词表,18,18,0.001822,通用停用词
下面,外部中文停用词表,26,17,0.00172,通用停用词
通常,外部中文停用词表,23,17,0.00172,通用停用词
高低,外部中文停用词表,22,17,0.00172,通用停用词
相等,外部中文停用词表,19,17,0.00172,通用停用词
下来,外部中文停用词表,17,17,0.00172,通用停用词
巨大,外部中文停用词表,17,17,0.00172,通用停用词
遇到,外部中文停用词表,17,17,0.00172,通用停用词
一边,外部中文停用词表,26,16,0.001619,通用停用词
规定,外部中文停用词表,19,16,0.001619,通用停用词
其余,外部中文停用词表,18,16,0.001619,通用停用词
只有,外部中文停用词表,15,15,0.001518,通用停用词
尽可能,外部中文停用词表,15,15,0.001518,通用停用词
有着,外部中文停用词表,15,15,0.001518,通用停用词
过于,外部中文停用词表,15,15,0.001518,通用停用词
极端,外部中文停用词表,24,14,0.001417,通用停用词
最近,外部中文停用词表,19,14,0.001417,通用停用词
专门,外部中文停用词表,15,14,0.001417,通用停用词
作出,外部中文停用词表,15,14,0.001417,通用停用词
例如,外部中文停用词表,15,14,0.001417,通用停用词
可见,外部中文停用词表,14,14,0.001417,通用停用词
还是,外部中文停用词表,14,14,0.001417,通用停用词
大多,外部中文停用词表,14,13,0.001316,通用停用词
逐步,外部中文停用词表,14,13,0.001316,通用停用词
取得,外部中文停用词表,13,13,0.001316,通用停用词
只要,外部中文停用词表,13,13,0.001316,通用停用词
否则,外部中文停用词表,13,13,0.001316,通用停用词
第六,外部中文停用词表,17,12,0.001214,通用停用词
为主,外部中文停用词表,13,12,0.001214,通用停用词
但是,外部中文停用词表,12,12,0.001214,通用停用词
深入,外部中文停用词表,12,12,0.001214,通用停用词
而是,外部中文停用词表,12,12,0.001214,通用停用词
表明,外部中文停用词表,12,12,0.001214,通用停用词
即将,外部中文停用词表,15,11,0.001113,通用停用词
以后,外部中文停用词表,14,11,0.001113,通用停用词
有关,外部中文停用词表,12,11,0.001113,通用停用词
仍然,外部中文停用词表,11,11,0.001113,通用停用词
以外,外部中文停用词表,11,11,0.001113,通用停用词
前面,外部中文停用词表,16,10,0.001012,通用停用词
前进,外部中文停用词表,12,10,0.001012,通用停用词
后面,外部中文停用词表,12,10,0.001012,通用停用词
或是,外部中文停用词表,12,10,0.001012,通用停用词
一样,外部中文停用词表,11,10,0.001012,通用停用词
借此,外部中文停用词表,10,10,0.001012,通用停用词
同样,外部中文停用词表,10,10,0.001012,通用停用词
彼此,外部中文停用词表,10,10,0.001012,通用停用词
往往,外部中文停用词表,10,10,0.001012,通用停用词
清楚,外部中文停用词表,10,10,0.001012,通用停用词
现在,外部中文停用词表,10,10,0.001012,通用停用词
积极,外部中文停用词表,10,10,0.001012,通用停用词
联系,外部中文停用词表,10,10,0.001012,通用停用词
这时,外部中文停用词表,10,10,0.001012,通用停用词
看到,外部中文停用词表,11,9,0.000911,通用停用词
因而,外部中文停用词表,10,9,0.000911,通用停用词
失去,外部中文停用词表,10,9,0.000911,通用停用词
连同,外部中文停用词表,10,9,0.000911,通用停用词
除了,外部中文停用词表,10,9,0.000911,通用停用词
大多数,外部中文停用词表,9,9,0.000911,通用停用词
当中,外部中文停用词表,9,9,0.000911,通用停用词
有力,外部中文停用词表,9,9,0.000911,通用停用词
某些,外部中文停用词表,9,9,0.000911,通用停用词
还有,外部中文停用词表,9,9,0.000911,通用停用词
重大,外部中文停用词表,9,9,0.000911,通用停用词
当地,外部中文停用词表,11,8,0.00081,通用停用词
我国,外部中文停用词表,11,8,0.00081,通用停用词
下列,外部中文停用词表,8,8,0.00081,通用停用词
某个,外部中文停用词表,8,8,0.00081,通用停用词
过来,外部中文停用词表,8,8,0.00081,通用停用词
顺着,外部中文停用词表,8,8,0.00081,通用停用词
现代,外部中文停用词表,13,7,0.000708,通用停用词
它们,外部中文停用词表,10,7,0.000708,通用停用词
必要,外部中文停用词表,10,7,0.000708,通用停用词
我们,外部中文停用词表,8,7,0.000708,通用停用词
注意,外部中文停用词表,8,7,0.000708,通用停用词
绝对,外部中文停用词表,8,7,0.000708,通用停用词
说明,外部中文停用词表,8,7,0.000708,通用停用词
一一,外部中文停用词表,7,7,0.000708,通用停用词
与否,外部中文停用词表,7,7,0.000708,通用停用词
几乎,外部中文停用词表,7,7,0.000708,通用停用词
原来,外部中文停用词表,7,7,0.000708,通用停用词
很多,外部中文停用词表,7,7,0.000708,通用停用词
必须,外部中文停用词表,7,7,0.000708,通用停用词
无论,外部中文停用词表,7,7,0.000708,通用停用词
最好,外部中文停用词表,7,7,0.000708,通用停用词
有利,外部中文停用词表,7,7,0.000708,通用停用词
来说,外部中文停用词表,7,7,0.000708,通用停用词
行动,外部中文停用词表,11,6,0.000607,通用停用词
一路,外部中文停用词表,10,6,0.000607,通用停用词
之一,外部中文停用词表,8,6,0.000607,通用停用词
双方,外部中文停用词表,8,6,0.000607,通用停用词
不必,外部中文停用词表,7,6,0.000607,通用停用词
各级,外部中文停用词表,7,6,0.000607,通用停用词
比如,外部中文停用词表,7,6,0.000607,通用停用词
一旦,外部中文停用词表,6,6,0.000607,通用停用词
一片,外部中文停用词表,6,6,0.000607,通用停用词
不是,外部中文停用词表,6,6,0.000607,通用停用词
严格,外部中文停用词表,6,6,0.000607,通用停用词
从中,外部中文停用词表,6,6,0.000607,通用停用词
先后,外部中文停用词表,6,6,0.000607,通用停用词
到底,外部中文停用词表,6,6,0.000607,通用停用词
单纯,外部中文停用词表,6,6,0.000607,通用停用词
只是,外部中文停用词表,6,6,0.000607,通用停用词
就是,外部中文停用词表,6,6,0.000607,通用停用词
故而,外部中文停用词表,6,6,0.000607,通用停用词
日益,外部中文停用词表,6,6,0.000607,通用停用词
牢牢,外部中文停用词表,6,6,0.000607,通用停用词
相当,外部中文停用词表,6,6,0.000607,通用停用词
遭到,外部中文停用词表,6,6,0.000607,通用停用词
依照,外部中文停用词表,6,5,0.000506,通用停用词
常常,外部中文停用词表,6,5,0.000506,通用停用词
这里,外部中文停用词表,6,5,0.000506,通用停用词
那么,外部中文停用词表,6,5,0.000506,通用停用词
里面,外部中文停用词表,6,5,0.000506,通用停用词
与此同时,外部中文停用词表,5,5,0.000506,通用停用词
仅仅,外部中文停用词表,5,5,0.000506,通用停用词
以前,外部中文停用词表,5,5,0.000506,通用停用词
加以,外部中文停用词表,5,5,0.000506,通用停用词
多数,外部中文停用词表,5,5,0.000506,通用停用词
广大,外部中文停用词表,5,5,0.000506,通用停用词
据此,外部中文停用词表,5,5,0.000506,通用停用词
突然,外部中文停用词表,5,5,0.000506,通用停用词
至于,外部中文停用词表,5,5,0.000506,通用停用词
保险,外部中文停用词表,7,4,0.000405,通用停用词
对方,外部中文停用词表,6,4,0.000405,通用停用词
每天,外部中文停用词表,6,4,0.000405,通用停用词
反之,外部中文停用词表,5,4,0.000405,通用停用词
多少,外部中文停用词表,5,4,0.000405,通用停用词
能否,外部中文停用词表,5,4,0.000405,通用停用词
过去,外部中文停用词表,5,4,0.000405,通用停用词
不少,外部中文停用词表,4,4,0.000405,通用停用词
不管,外部中文停用词表,4,4,0.000405,通用停用词
串行,外部中文停用词表,4,4,0.000405,通用停用词
别的,外部中文停用词表,4,4,0.000405,通用停用词
加上,外部中文停用词表,4,4,0.000405,通用停用词
变成,外部中文停用词表,4,4,0.000405,通用停用词
后者,外部中文停用词表,4,4,0.000405,通用停用词
处在,外部中文停用词表,4,4,0.000405,通用停用词
大都,外部中文停用词表,4,4,0.000405,通用停用词
强烈,外部中文停用词表,4,4,0.000405,通用停用词
当下,外部中文停用词表,4,4,0.000405,通用停用词
普遍,外部中文停用词表,4,4,0.000405,通用停用词
立即,外部中文停用词表,4,4,0.000405,通用停用词
第一个,外部中文停用词表,4,4,0.000405,通用停用词
经常,外部中文停用词表,4,4,0.000405,通用停用词
认识,外部中文停用词表,4,4,0.000405,通用停用词
这个,外部中文停用词表,4,4,0.000405,通用停用词
进去,外部中文停用词表,4,4,0.000405,通用停用词
少数,外部中文停用词表,7,3,0.000304,通用停用词
背靠背,外部中文停用词表,7,3,0.000304,通用停用词
以为,外部中文停用词表,4,3,0.000304,通用停用词
极为,外部中文停用词表,4,3,0.000304,通用停用词
立刻,外部中文停用词表,4,3,0.000304,通用停用词
练习,外部中文停用词表,4,3,0.000304,通用停用词
不一,外部中文停用词表,3,3,0.000304,通用停用词
也就是说,外部中文停用词表,3,3,0.000304,通用停用词
其一,外部中文停用词表,3,3,0.000304,通用停用词
再者,外部中文停用词表,3,3,0.000304,通用停用词
刚好,外部中文停用词表,3,3,0.000304,通用停用词
前者,外部中文停用词表,3,3,0.000304,通用停用词
即便,外部中文停用词表,3,3,0.000304,通用停用词
哪个,外部中文停用词表,3,3,0.000304,通用停用词
多年,外部中文停用词表,3,3,0.000304,通用停用词
尽快,外部中文停用词表,3,3,0.000304,通用停用词
更进一步,外部中文停用词表,3,3,0.000304,通用停用词
有点,外部中文停用词表,3,3,0.000304,通用停用词
朝着,外部中文停用词表,3,3,0.000304,通用停用词
极其,外部中文停用词表,3,3,0.000304,通用停用词
根本,外部中文停用词表,3,3,0.000304,通用停用词
每年,外部中文停用词表,3,3,0.000304,通用停用词
看出,外部中文停用词表,3,3,0.000304,通用停用词
知道,外部中文停用词表,3,3,0.000304,通用停用词
第二个,外部中文停用词表,3,3,0.000304,通用停用词
虽然,外部中文停用词表,3,3,0.000304,通用停用词
那些,外部中文停用词表,3,3,0.000304,通用停用词
第二节,外部中文停用词表,9,2,0.000202,通用停用词
全年,外部中文停用词表,4,2,0.000202,通用停用词
大概,外部中文停用词表,3,2,0.000202,通用停用词
一下,外部中文停用词表,2,2,0.000202,通用停用词
一切,外部中文停用词表,2,2,0.000202,通用停用词
下去,外部中文停用词表,2,2,0.000202,通用停用词
不至于,外部中文停用词表,2,2,0.000202,通用停用词
个别,外部中文停用词表,2,2,0.000202,通用停用词
为此,外部中文停用词表,2,2,0.000202,通用停用词
争取,外部中文停用词表,2,2,0.000202,通用停用词
二来,外部中文停用词表,2,2,0.000202,通用停用词
人民,外部中文停用词表,2,2,0.000202,通用停用词
今后,外部中文停用词表,2,2,0.000202,通用停用词
介于,外部中文停用词表,2,2,0.000202,通用停用词
从事,外部中文停用词表,2,2,0.000202,通用停用词
他们,外部中文停用词表,2,2,0.000202,通用停用词
以免,外部中文停用词表,2,2,0.000202,通用停用词
以期,外部中文停用词表,2,2,0.000202,通用停用词
具体来说,外部中文停用词表,2,2,0.000202,通用停用词
十八,外部中文停用词表,2,2,0.000202,通用停用词
单单,外部中文停用词表,2,2,0.000202,通用停用词
